step,time,energy,E_over_E0
0,0,9.857688472760223,1
10,0.5,1.623869955248912,0.164731311984159
20,1,0.2675023644601027,0.0271364189687362
30,1.5,0.04406603790093743,0.004470220176130056
40,2,0.007259059934957861,0.0007363856095693063
50,2.5,0.001195795076042268,0.0001213058293885642
60,3,0.0001969849921159054,1.998287860893906e-05
70,3.5,3.244961273487605e-05,3.291807488595744e-06
80,4,5.345470006715888e-06,5.422640430854596e-07
90,4.5,8.805667375369207e-07,8.932791292504253e-08
100,5,1.450569884349572e-07,1.47151118475486e-08
110,5.5,2.389544041459847e-08,2.424040938261419e-09
120,6,3.936329351843544e-09,3.993156572882997e-10
130,6.5,6.48437075222661e-10,6.577983033390524e-11
140,7,1.06817968978611e-10,1.083600575061602e-11
150,7.5,1.75962869739905e-11,1.785031756949346e-12
160,8,2.898669034263755e-12,2.940515966064108e-13
170,8.5,4.775066743981077e-13,4.844002483113594e-14
180,9,7.866333453040294e-14,7.979896579991704e-15
190,9.5,1.296014994232477e-14,1.314725047168775e-15
200,10,2.136067776852844e-15,2.166905337651363e-16
